char,freq
菡,103
邹,103
讨,103
缸,103
绽,103
屑,103
鄙,102
迸,102
蹋,102
瑕,102
驯,102
训,102
爪,102
汴,102
瞒,102
拣,102
倘,102
烬,102
跸,101
陛,101
韬,101
俭,101
孺,101
奋,101
禊,101
牍,101
夙,101
迩,101
绂,101
嫋,101
蘸,100
僚,100
眷,100
暴,100
嗜,100
谬,100
涟,100
萏,99
槿,99
恃,99
恭,99
斸,99
燃,99
技,99
杓,99
祷,99
蠡,99
杪,99
务,98
亿,98
逊,98
灼,98
沥,98
填,98
踞,98
控,98
纯,97
薤,97
箱,97
泄,97
俦,97
矮,97
倏,97
舣,97
紧,96
骎,96
迤,96
奎,96
黏,96
弊,96
寮,96
喝,96
鲍,96
桨,96
敞,96
芊,96
鲲,96
皱,95
溢,95
撒,95
叨,94
萄,94
篝,94
渥,94
糟,94
谤,94
刮,94
臼,94
逗,94
副,94
糊,94
粼,94
榔,93
测,93
蹈,93
贴,93
堞,93
晒,93
垢,93
嵇,93
诞,93
级,93
谿,93
眇,93
罅,93
毵,93
矢,92
享,92
芥,92
仑,92
眩,92
楮,92
吁,92
竭,91
柰,91
嗅,91
穆,91
赛,91
镂,91
耘,91
翎,91
毁,91
厦,91
趺,91
尸,91
税,91
秩,90
蚊,90
襦,90
掬,90
栩,90
釜,90
纨,90
蒹,89
瞳,89
匠,89
槽,89
颖,89
柑,89
巉,89
叉,89
虾,89
屹,89
纖,88
匪,88
荼,88
啻,88
泮,88
猩,88
沤,88
娃,88
漳,88
衿,88
讴,88
苒,88
帙,88
滚,88
伽,87
庖,87
珂,87
腮,87
螯,87
轺,87
抗,87
摹,87
铄,87
潢,86
稿,86
褰,86
鬣,85
肘,85
询,85
翮,85
碾,85
缆,85
胭,85
碌,85
证,85
玻,84
悦,84
绩,84
辘,84
盎,84
婢,84
陷,84
螭,84
荀,84
捉,84
慧,84
阎,84
狸,83
巘,83
邯,83
饿,83
掣,83
湄,83
荚,83
抟,83
霅,82
遶,82
閟,82
槃,82
涪,82
浥,82
菟,82
淫,82
颅,82
块,82
撞,81
刊,81
逡,81
颔,81
炭,81
缪,81
闼,81
穰,81
谗,80
菩,80
涴,80
胧,80
峙,80
雩,80
潸,80
郸,80
旃,80
脑,80
闰,80
捻,80
甃,80
鹗,80
孱,80
坑,80
革,79
厄,79
纬,79
饯,79
杞,79
葺,79
忻,79
蒂,79
牒,79
茹,79
努,79
嗤,79
梓,79
伶,79
谟,79
蓦,79
漉,79
泗,79
哲,78
畿,78
嫦,78
砖,78
铗,78
育,78
汩,78
飚,78
麴,78
篘,78
霆,78
掾,78
橙,78
羯,78
欧,78
衬,78
瑰,77
虀,77
耄,77
躔,77
姜,77
逞,77
蕴,77
鵷,77
偈,77
钝,77
惺,77
脾,77
棺,77
姮,76
垅,76
骝,76
蛱,76
皤,76
窕,76
劣,76
蔌,76
烁,76
棂,75
崦,75
朦,75
咨,75
髓,75
嵌,75
卯,75
赭,75
笥,75
藁,74
讳,74
嶙,74
冀,74
蜃,74
鹘,74
鱠,74
描,74
戢,74
彷,73
偕,73
湫,73
戛,73
荇,73
伟,73
克,73
擢,73
邺,73
员,73
摆,73
躅,73
隽,73
璞,73
督,73
谯,73
爨,73
拓,73
讹,72
侠,72
创,72
轳,72
辩,72
棒,72
闪,72
演,72
灿,72
峋,72
泯,72
窍,72
觚,72
砥,72
式,72
淑,72
恢,72
疗,71
锵,71
曝,71
虱,71
歧,71
黔,71
撷,71
杼,71
豀,70
删,70
导,70
幌,70
什,70
沛,70
罕,70
驺,70
弗,70
铢,70
绍,70
抬,70
凯,70
馈,70
啾,70
撚,70
碛,70
亹,70
廪,70
么,70
柿,70
隼,70
盲,70
氲,69
筝,69
堑,69
彦,69
惧,69
曼,69
完,69
焙,69
邵,68
饕,68
靡,68
伪,68
舄,68
醴,68
滥,68
陟,68
苓,68
袈,68
羔,68
轰,68
薛,68
丙,68
扈,68
浔,67
贻,67
绢,67
貔,67
拒,67
梗,67
矍,67
豺,67
鉏,66
楞,66
脊,66
燎,66
衷,66
崩,66
骧,66
朴,66
酪,66
弧,65
帻,65
巳,65
泾,65
聘,65
荠,65
櫂,65
究,65
溺,65
恬,65
弘,65
渍,65
斲,65
挺,65
幔,65
枪,65
酊,65
氅,64
叱,64
岗,64
斝,64
悉,64
缟,64
觌,64
闉,64
睛,64
稔,64
滓,64
诺,64
縠,64
卸,64
靴,64
谨,64
贷,64
兜,64
鲛,64
蠲,64
亨,64
棣,63
蓿,63
孩,63
镫,63
簧,63
轸,63
矗,63
捲,63
婚,63
啜,63
裟,63
亟,63
酝,63
邈,63
甸,63
踵,62
绊,62
苜,62
婿,62
汪,62
牌,62
驽,62
奢,62
牋,62
柁,62
酩,62
湓,62
瀰,61
批,61
伎,61
腕,61
沂,61
佞,61
粤,61
蜍,61
掇,61
蹴,61
哺,61
哑,60
倡,60
苟,60
铛,60
搀,60
宪,60
塍,60
霍,60
缑,60
罔,60
雇,60
庇,60
屣,59
浃,59
吝,59
绯,59
膻,59
鼍,59
勃,59
喉,59
蟋,59
婉,59
汹,59
徼,59
蹰,59
酡,59
跋,59
迅,59
榕,59
迦,59
芷,59
惘,58
硬,58
绰,58
馔,58
滂,58
蟀,58
睨,58
讥,58
鬭,58
徉,58
躇,58
霎,58
憾,58
愔,58
虢,58
爇,58
裔,58
拿,58
蒋,57
辋,57
咿,57
阍,57
豸,57
椎,57
汞,57
岧,57
秣,57
阃,57
蚌,57
邃,57
隘,57
蔚,57
骞,57
擬,57
邓,57
叙,57
宏,57
壳,57
肴,57
猴,56
惑,56
蓴,56
邛,56
卦,56
姊,56
绘,56
焕,56
慎,56
踌,56
枳,56
樗,56
鷁,56
统,56
濂,56
徂,56
舅,56
寅,56
嫣,55
鹫,55
湔,55
钦,55
玳,55
觜,55
霾,55
踟,55
蕤,55
厉,55
菌,55
齁,55
蔗,55
绸,55
鞅,55
罩,55
述,54
搭,54
晤,54
蹲,54
柝,54
缬,54
股,54
腔,54
址,54
槊,54
槌,54
舠,54
欸,54
诰,54
彝,54
僵,54
恒,54
饰,54
箴,54
鸶,54
仟,54
敦,54
龚,54
肖,54
觐,53
绀,53
韭,53
棲,53
弩,53
妹,53
虔,53
蟆,53
纫,53
萃,53
茁,53
绾,53
忤,53
钺,53
恁,52
曩,52
猗,52
酤,52
藿,52
斥,52
狭,52
靓,52
煤,52
艘,52
揩,52
瞥,52
壼,52
婺,52
惰,52
轓,52
鄂,51
坰,51
绫,51
挼,51
曈,51
衍,51
需,51
弋,51
吒,51
鹚,51
擒,51
霹,51
娉,51
婷,51
蜓,50
坳,50
辖,50
逶,50
捕,50
谦,50
骂,50
從,50
苎,50
祓,50
箬,50
柚,50
讽,50
鹢,50
沌,50
恤,50
邸,50
铿,50
铎,50
详,50
枥,50
蓂,50
罨,50
盼,50
鳖,50
遵,49
畅,49
瞬,49
拊,49
琪,49
濠,49
耒,49
弈,49
濆,49
仄,49
坼,49
斓,49
喻,49
玷,49
俟,49
搘,49
谶,49
瓠,49
唧,49
陡,48
畎,48
纭,48
菘,48
祁,48
旛,48
缯,48
咍,48
髅,48
镳,48
疮,48
畹,48
炳,48
娄,48
脆,48
糜,48
罚,48
缤,48
茯,48
竽,48
伍,48
库,48
蹬,48
恸,48
析,48
皑,48
垓,48
溯,48
鹓,47
穑,47
祚,47
葆,47
裨,47
峣,47
敏,47
晞,47
骅,47
舻,47
粳,47
暾,47
饧,47
坂,47
伞,47
淼,47
筌,47
雳,47
澌,47
赌,47
浯,47
袴,47
愠,47
甍,47
沫,47
遒,47
诮,46
劈,46
刷,46
葫,46
枭,46
察,46
畲,46
洽,46
沮,46
徜,46
骋,46
瀣,46
骈,46
聃,46
擞,46
髦,46
货,46
缣,46
型,46
绠,46
轲,46
鴈,46
摄,45
雹,45
熨,45
菁,45
峒,45
辗,45
醖,45
髑,45
碓,45
蚀,45
孥,45
幙,45
贰,45
翚,45
爆,45
黠,45
泝,45
珥,45
泫,45
筛,45
闯,45
屧,45
匏,45
鹳,45
蕾,45
晡,45
姝,45
栎,45
缙,45
棚,45
磷,45
勺,45
翱,45
妩,44
蜻,44
澈,44
蓄,44
砾,44
颈,44
桴,44
菽,44
鞯,44
皈,44
粪,44
垫,44
腋,44
蘼,44
淙,44
齑,44
紵,44
跌,44
宕,44
审,44
挠,44
隣,44
蹭,44
侔,44
刳,44
堠,44
笈,44
逦,43
爻,43
蓠,43
堰,43
跹,43
潼,43
闵,43
协,43
皪,43
裛,43
呻,43
弭,43
啮,43
窖,43
甥,43
狄,43
舷,43
轨,43
诬,43
赚,43
罾,42
溉,42
吻,42
朅,42
狮,42
豳,42
措,42
钉,42
邙,42
掘,42
岱,42
赦,42
曜,42
鴃,42
罄,42
袋,42
荦,42
悰,42
榾,42
鴒,42
膳,42
秪,42
曷,42
崑,42
帚,42
鏁,42
褭,42
僊,42
蕲,42
窣,42
琥,42
陨,42
丫,42
锐,41
甕,41
硕,41
馋,41
磵,41
秾,41
沓,41
霙,41
仝,41
歙,41
沁,41
沱,41
剔,41
牯,41
璇,41
跏,41
氤,41
冗,41
沆,41
圜,41
磻,41
憀,41
钲,41
嬴,41
舴,41
艋,41
穠,41
觑,41
瀹,41
劚,41
脐,41
锸,41
貅,41
沅,41
憧,41
丐,41
杲,41
筍,41
挝,40
洄,40
纔,40
戌,40
贳,40
沄,40
椀,40
肚,40
靠,40
鶗,40
谀,40
歊,40
彰,40
琤,40
稜,40
荄,40
涸,40
醯,40
侈,40
媪,40
蜚,40
簷,40
珀,40
鶒,40
舶,40
耗,39
罂,39
俩,39
遏,39
鲵,39
褪,39
耦,39
芗,39
喔,39
醆,39
绨,39
猪,39
崧,39
佗,39
搏,39
缃,39
郤,39
繖,39
肋,39
睢,39
确,39
玺,39
栀,39
剌,39
镊,39
柮,39
珮,39
挨,39
壖,38
鹑,38
咬,38
瘠,38
嶒,38
腿,38
隶,38
舡,38
谆,38
笃,38
縻,38
距,38
抖,38
崛,38
灩,38
厢,38
弁,38
券,38
赎,38
括,38
髀,38
狞,38
羇,38
旟,38
某,38
紬,38
鸂,38
钳,38
罴,37
垠,37
虐,37
溷,37
匙,37
鑽,37
蜿,37
仔,37
鞠,37
泬,37
娆,37
蓟,37
臧,37
粹,37
撰,37
懽,37
旐,37
濒,37
漕,37
飙,37
缲,37
钜,36
蝗,36
皴,36
攘,36
骀,36
蓍,36
蹀,36
嘈,36
茜,36
臆,36
亘,36
翟,36
抑,36
鄱,36
核,36
庠,36
珪,36
葑,36
醮,36
旻,36
楷,36
卵,36
阗,36
陕,36
兢,36
杆,36
飖,36
鬻,36
飏,36
碣,36
簌,36
矻,36
鸬,36
寤,35
胪,35
嘱,35
饫,35
缗,35
阕,35
涅,35
蹁,35
醿,35
氈,35
桔,35
摸,35
魅,35
泷,35
诜,35
贲,35
殆,35
臯,35
鷃,35
猫,35
冽,35
埭,35
订,35
蜒,34
恕,34
崆,34
诳,34
缴,34
飐,34
屩,34
你,34
迈,34
釂,34
矛,34
佯,34
辂,34
崚,34
啖,34
桅,34
爷,34
溥,34
軿,34
渝,34
憨,34
疴,34
蚓,34
珉,34
钻,34
译,34
刈,34
摛,34
築,34
洮,34
蘖,34
姻,34
俚,34
窘,34
轼,34
旭,34
羃,34
纛,34
佚,34
黜,34
楠,34
渤,33
查,33
摅,33
祢,33
拼,33
岿,33
鄞,33
睿,33
揄,33
黼,33
秽,33
鹁,33
厩,33
糠,33
瞎,33
慙,33
奥,33
篦,33
攜,33
剃,33
嫔,33
簑,33
熠,33
廿,33
洼,33
刁,33
琱,33
厘,33
薏,33
苛,33
狡,33
琚,33
繇,33
谅,32
咀,32
绎,32
歛,32
籴,32
煞,32
阀,32
籯,32
愆,32
侄,32
搴,32
醽,32
粝,32
诣,32
扛,32
泳,32
崙,32
睫,32
瘿,32
颺,32
酽,32
壕,32
踯,32
链,32
鹪,32
萨,32
缶,32
昊,32
徇,32
汨,32
扆,32
诈,32
姥,32
喙,32
苡,32
荞,32
禀,32
祛,32
锻,32
楝,32
嗷,32
烝,31
嘴,31
埙,31
裕,31
痒,31
抡,31
艎,31
靳,31
茔,31
舳,31
繙,31
渎,31
拗,31
鎔,31
诃,31
疋,31
懦,31
懊,31
缫,31
皖,31
淝,31
姹,31
葡,31
殢,31
鼐,31
滁,31
悮,31
曰,31
斡,31
蝼,31
幂,31
舲,31
璨,30
惚,30
瞢,30
售,30
瑜,30
揉,30
咳,30
鑱,30
彫,30
镞,30
枌,30
帜,30
拽,30
醍,30
醐,30
恻,30
隗,30
帔,30
闢,30
蒨,30
撮,30
叵,30
孕,30
圯,30
辊,30
隳,30
雒,30
鹆,30
鵩,30
琰,30
鲙,30
脯,30
晁,30
迭,30
涔,30
铮,30
裀,30
枵,30
拶,29
嫖,29
猖,29
翊,29
荪,29
鬅,29
豢,29
槟,29
牟,29
闇,29
毬,29
飓,29
罥,29
圩,29
珰,29
泚,29
翥,29
膜,29
筐,29
跚,29
澎,29
岌,29
洙,29
毳,29
穉,29
卤,29
疠,29
醑,29
鼾,29
莘,29
狩,29
肪,29
傀,29
儡,29
砺,29
哥,29
猱,28
饴,28
遑,28
裤,28
貯,28
绚,28
谑,28
醲,28
鬙,28
匕,28
侏,28
譊,28
哢,28
氓,28
燮,28
鳄,28
钞,28
螀,28
帕,28
疵,28
槔,28
磔,28
狙,28
胄,28
戮,28
倪,28
巇,28
蓓,28
甄,28
俞,28
肓,28
跟,28
睦,28
缰,28
歉,28
寨,28
簸,28
悯,28
谛,28
竚,28
磐,28
槲,28
噫,28
濩,28
掺,28
押,28
剂,27
荜,27
贬,27
栅,27
咎,27
跪,27
贩,27
侑,27
蛆,27
祟,27
芡,27
琮,27
锱,27
巵,27
瑁,27
颸,27
俜,27
隰,27
荏,27
蹒,27
骐,27
赣,27
椰,27
瀼,27
羝,27
舰,27
娲,27
驩,27
闸,27
陲,27
煦,27
颭,27
脔,27
挫,27
潄,27
瘁,27
诠,27
熬,27
囘,27
泡,27
炽,27
泱,27
镐,27
邕,27
奄,26
逮,26
酎,26
荤,26
墦,26
躞,26
俾,26
怎,26
骆,26
豕,26
燥,26
炫,26
巑,26
彴,26
该,26
栉,26
窜,26
莉,26
苋,26
鏖,26
淘,26
濁,26
肢,26
甓,26
罹,26
懿,26
殁,26
企,26
溽,26
燧,26
沩,26
眯,26
桀,26
棕,26
械,26
崭,26
牺,26
嵋,26
孜,26
揣,26
蜘,26
迓,25
摵,25
炀,25
郴,25
攫,25
胞,25
睥,25
蘂,25
揶,25
缱,25
瓈,25
惶,25
桄,25
盥,25
捋,25
郄,25
柂,25
淤,25
琯,25
谕,25
旂,25
舐,25
赀,25
璀,25
嶮,25
杷,25
燔,25
绷,25
惫,25
麤,25
榄,25
姨,25
旰,25
採,25
壬,25
鹩,25
壅,25
汎,25
蛤,25
趾,25
礴,25
噀,25
喘,25
笭,25
箵,25
汙,25
馁,25
箓,24
篪,24
餍,24
潏,24
鍊,24
怊,24
敖,24
曨,24
牲,24
绻,24
埽,24
箠,24
悼,24
币,24
蔔,24
犂,24
芾,24
劾,24
狖,24
茏,24
癸,24
嚬,24
轿,24
眈,24
芟,24
陬,24
澒,24
蹔,24
饤,24
涡,24
樾,24
鹥,24
礬,24
苴,24
艮,24
呕,24
淇,24
踽,24
蜺,24
醁,24
琨,24
孽,24
聆,24
赪,23
巽,23
抉,23
萁,23
爰,23
猨,23
戊,23
莆,23
撤,23
芃,23
襆,23
颉,23
鳏,23
亢,23
琖,23
酉,23
盾,23
麹,23
颢,23
踊,23
辀,23
茉,23
诡,23
幰,23
鞬,23
繼,23
跛,23
孚,23
龊,23
裌,23
郫,23
殃,23
痍,23
竦,23
鲠,23
瘗,23
圻,23
菑,23
畜,23
薦,23
囿,23
赁,22
僦,22
凑,22
溧,22
胁,22
釐,22
儋,22
叛,22
鵰,22
篾,22
靥,22
澦,22
赍,22
鹎,22
篠,22
骓,22
鞿,22
歆,22
晻,22
壘,22
猕,22
臙,22
蜩,22
魃,22
薮,22
檗,22
嘿,22
兕,22
衽,22
瀚,22
瞑,22
魑,22
祲,22
暌,22
鹍,22
苧,22
恳,22
楯,22
镬,22
缅,22
懃,22
逵,22
髫,22
匈,22
忿,22
罇,22
籙,22
伥,22
蕡,21
恺,21
筩,21
呦,21
殖,21
璜,21
沴,21
舁,21
鸽,21
筦,21
晃,21
瘳,21
肇,21
鴂,21
铙,21
卞,21
砻,21
侨,21
陔,21
岏,21
秕,21
缇,21
韫,21
鵊,21
叮,21
酱,21
蚩,21
忺,21
輶,21
夤,21
瘼,21
驳,21
摺,21
汶,21
沪,21
毅,21
騑,21
黾,21
樛,21
缉,21
瓷,21
怖,21
秤,21
圞,21
僭,21
嘹,21
估,21
絇,21
筱,21
薝,21
膊,21
绥,21
伺,21
爬,21
豗,21
劬,21
璋,21
猊,21
贶,21
喃,21
熹,20
觇,20
筮,20
繻,20
禳,20
侮,20
诲,20
弼,20
鱣,20
斂,20
瓿,20
腑,20
酋,20
奖,20
袠,20
甬,20
閤,20
縢,20
邴,20
磈,20
燠,20
懶,20
诱,20
跕,20
鲭,20
鳷,20
翕,20
晷,20
赝,20
蒯,20
剜,20
洩,20
厥,20
祜,20
茭,20
酾,20
泸,20
绦,20
埒,20
覃,20
偻,20
抠,20
纩,20
汁,20
鄮,20
笞,20
圉,20
湮,20
韁,20
啧,20
抔,20
谠,20
溆,20
弛,20
瘵,20
拦,20
楣,20
铨,20
彬,20
粽,19
甯,19
孀,19
譬,19
睇,19
矰,19
镰,19
褵,19
眵,19
幮,19
哄,19
黟,19
厕,19
噎,19
鞘,19
咛,19
碪,19
妥,19
娶,19
霈,19
鹡,19
鎚,19
垦,19
亥,19
鍼,19
扳,19
讣,19
殒,19
硖,19
磋,19
箦,19
飨,19
诤,19
垤,19
驶,19
皦,19
烨,19
鼋,19
骡,19
戾,19
絺,19
庑,19
狨,19
摊,19
椠,19
汐,19
醨,19
绉,19
澳,19
耨,19
榱,18
褥,18
豉,18
痾,18
莳,18
吓,18
骛,18
阐,18
褷,18
痼,18
怳,18
赡,18
奂,18
楂,18
綦,18
萎,18
嫡,18
捩,18
鹞,18
谥,18
糕,18
挤,18
逻,18
妪,18
攲,18
颤,18
鉤,18
捍,18
喈,18
掞,18
橄,18
熔,18
聱,18
驮,18
鬐,18
雎,18
硎,18
允,18
扊,18
忪,18
鳜,18
伧,18
翫,18
犍,18
拯,18
枇,18
禋,18
肮,18
脏,18
儘,18
窅,18
漭,18
墩,18
罟,18
枨,18
襞,18
励,18
秔,18
跖,18
暧,18
厮,18
摐,18
匿,18
穟,17
痊,17
絷,17
玦,17
蓊,17
铓,17
飧,17
佣,17
阪,17
纾,17
颃,17
嶢,17
荃,17
譍,17
殚,17
矩,17
臻,17
怛,17
窭,17
鞾,17
轂,17
椹,17
莪,17
璁,17
炮,17
釭,17
煜,17
浚,17
鎌,17
籥,17
獬,17
谴,17
龌,17
胃,17
酢,17
诙,17
扅,17
鲫,17
澥,17
撇,17
苻,17
殉,17
吭,17
篸,17
稗,17
箑,17
斚,17
僛,17
纠,17
镵,17
湟,17
胯,17
殇,17
搓,17
簉,17
匮,17
蒪,17
灊,17
跫,17
篑,17
璚,17
篛,17
狺,17
悌,16
墉,16
耜,16
娜,16
遄,16
滉,16
勍,16
捎,16
丕,16
漙,16
拏,16
铉,16
踰,16
胝,16
複,16
俛,16
竅,16
猝,16
滪,16
嶷,16
彘,16
偎,16
蒜,16
咒,16
詹,16
隍,16
粕,16
饲,16
畚,16
汇,16
赘,16
缔,16
傩,16
傞,16
锤,16
蕝,16
孑,16
獭,16
騃,16
悍,16
鸜,16
虯,16
捏,16
歃,16
煖,16
螳,16
巩,16
谄,16
骁,16
邢,16
暘,16
宓,16
胙,16
戆,16
蔻,16
棐,16
哂,16
螟,15
暍,15
衒,15
凹,15
拉,15
娩,15
蠖,15
禧,15
玛,15
逖,15
蜉,15
苫,15
瓴,15
蓐,15
趼,15
嫂,15
忱,15
啁,15
璎,15
啅,15
毯,15
抢,15
磑,15
揆,15
跗,15
拋,15
圈,15
砭,15
昴,15
亸,15
挛,15
歜,15
橡,15
璈,15
欻,15
蔺,15
莞,15
枸,15
轶,15
阇,15
伛,15
徭,15
渗,15
慑,15
桁,15
殄,15
鍪,15
鲂,15
徨,15
桤,15
藐,15
欷,15
葳,15
灏,15
腷,15
皁,15
標,15
铫,15
颙,15
胫,15
簦,15
毓,15
愦,15
蔫,15
牝,15
忒,15
畀,14
攸,14
淖,14
踢,14
嵚,14
哇,14
碁,14
趯,14
瑙,14
龉,14
沔,14
樟,14
筼,14
筜,14
虮,14
玫,14
悽,14
搆,14
扼,14
笾,14
胖,14
蒌,14
袷,14
蝟,14
硗,14
蜑,14
厖,14
燐,14
绋,14
褫,14
菅,14
遯,14
貉,14
麰,14
裸,14
緌,14
骠,14
齧,14
啬,14
髠,14
鸲,14
媸,14
躁,14
蠢,14
恓,14
涣,14
玠,14
瘢,14
屼,14
胚,14
蛊,14
榷,14
蚋,14
洳,14
鄜,14
棼,14
牓,14
馌,14
睎,14
跬,14
瘖,14
钤,14
鲑,14
袒,14
褚,14
讙,13
锼,13
荛,13
芼,13
龃,13
蝣,13
蒺,13
醋,13
拌,13
恂,13
盃,13
耰,13
堙,13
诫,13
枘,13
觊,13
鸮,13
璫,13
玖,13
蹶,13
邅,13
枻,13
琬,13
棉,13
襜,13
塚,13
础,13
袢,13
汰,13
幛,13
遡,13
劄,13
蜊,13
褌,13
彀,13
汛,13
莸,13
忉,13
贽,12
櫜,12
斐,12
旴,12
琛,12
塾,12
挞,12
獃,12
钁,12
螘,12
辑,12
喑,12
倖,12
鞴,12
蟒,12
淬,12
蔀,12
咚,12
寘,12
喫,12
筴,12
罽,12
兑,12
隄,12
键,12
徕,12
阱,12
羿,12
崤,11
珞,11
頳,11
噬,11
迨,11
诔,11
獠,11
呀,11
蔕,11
募,11
嫠,11
箎,11
跣,11
潞,11
羶,11
螂,11
殡,11
镝,11
蔑,11
茄,11
哮,11
騄,11
铦,11
歈,11
脩,11
鋋,11
鱍,11
噤,11
辣,10
鮓,10
糖,10
黉,10
緼,10
黥,10
瞽,10
俘,9
橛,9
嘤,9
盱,9
儆,9
锹,9
祐,8
镆,7
闤,7
嗫,7
鹴,7
鹈,7
葅,7
蠃,6
崒,6
捞,5
榈,5
虺,4
蝠,4
璠,3
蝀,3
髴,3
蛄,2
鵁,1
